index,round,team,opponent_team,prev_team_ranking,team_ranking_diff,opponent_ranking,was_home,team_h_score,team_a_score,clean_sheets,goals_scored,season,team_name
1199,1,12,20,,,,True,4,0,True,True,2017-18,MUN
0,1,20,12,,,,False,4,0,False,False,2017-18,WHU
1,2,20,14,2.0,-1.0,3.0,False,3,2,False,True,2017-18,WHU
870,2,14,20,3.0,1.0,2.0,True,3,2,False,True,2017-18,SOU
795,3,13,20,2.0,0.0,2.0,True,3,0,True,True,2017-18,NEW
2,3,20,13,2.0,0.0,2.0,False,3,0,False,False,2017-18,WHU
79,4,8,20,4.0,2.0,2.0,False,2,0,False,False,2017-18,HUD
3,4,20,8,2.0,-2.0,4.0,True,2,0,True,True,2017-18,WHU
4,5,20,19,2.0,-2.0,4.0,False,0,0,True,False,2017-18,WHU
563,5,19,20,4.0,2.0,2.0,True,0,0,True,False,2017-18,WBA
5,6,20,17,2.0,-1.0,3.0,True,2,3,False,True,2017-18,WHU
2377,6,17,20,3.0,1.0,2.0,False,2,3,False,True,2017-18,TOT
1087,7,16,20,2.0,0.0,2.0,False,1,0,False,False,2017-18,SWA
6,7,20,16,2.0,0.0,2.0,True,1,0,True,True,2017-18,WHU
7,8,20,4,2.0,-1.0,3.0,False,1,1,False,True,2017-18,WHU
359,8,4,20,3.0,1.0,2.0,True,1,1,False,True,2017-18,BUR
1731,9,3,20,2.0,0.0,2.0,False,0,3,True,True,2017-18,BRI
8,9,20,3,2.0,0.0,2.0,True,0,3,False,False,2017-18,WHU
1542,10,6,20,2.0,0.0,2.0,True,2,2,False,True,2017-18,CRY
9,10,20,6,2.0,0.0,2.0,False,2,2,False,True,2017-18,WHU
328,11,10,20,4.0,2.0,2.0,False,1,4,False,True,2017-18,LIV
10,11,20,10,2.0,-2.0,4.0,True,1,4,False,True,2017-18,WHU
253,12,18,20,3.0,1.0,2.0,True,2,0,True,True,2017-18,WAT
11,12,20,18,2.0,-1.0,3.0,False,2,0,False,False,2017-18,WHU
12,13,20,9,2.0,-1.0,3.0,True,1,1,False,True,2017-18,WHU
609,13,9,20,3.0,1.0,2.0,False,1,1,False,True,2017-18,LEI
441,14,7,20,2.0,0.0,2.0,True,4,0,True,True,2017-18,EVE
13,14,20,7,2.0,0.0,2.0,False,4,0,False,False,2017-18,WHU
14,15,20,11,2.0,-3.0,5.0,False,2,1,False,True,2017-18,WHU
769,15,11,20,5.0,3.0,2.0,True,2,1,False,True,2017-18,MCI
15,16,20,5,2.0,-2.0,4.0,True,1,0,True,True,2017-18,WHU
1322,16,5,20,4.0,2.0,2.0,False,1,0,False,False,2017-18,CHE
16,17,20,1,2.0,-2.0,4.0,True,0,0,True,False,2017-18,WHU
163,17,1,20,4.0,2.0,2.0,False,0,0,True,False,2017-18,ARS
17,18,20,15,2.0,0.0,2.0,False,0,3,True,True,2017-18,WHU
2936,18,15,20,2.0,0.0,2.0,True,0,3,False,False,2017-18,STO
18,19,20,13,2.0,0.0,2.0,True,2,3,False,True,2017-18,WHU
811,19,13,20,2.0,0.0,2.0,False,2,3,False,True,2017-18,NEW
19,20,20,2,2.0,0.0,2.0,False,3,3,False,True,2017-18,WHU
